Collection Period,"Department/
Agency Name",Agency Short Name,Project ID,Project Title,Government Domain,ICT Project Category,Description,Stage,Benefit Category  ( Benefit Type),Date of Closure/ Postponement,PM Methodologies,Initiation Start Date,Planned Initiation End Date,Revised Initiation End Date,Business Case Approval Date,Planned Initiation Cost,Revised initiation Cost,Planned Delivery Start Date,Revised Delivery Start Date,Planned Delivery End Date,Revised Delivery End Date,Planned Delivery Cost,Revised Delivery Cost,Q1 21-22,Q2 21-22,Q3 21-22,Q4 21-22,Q1 22-23 (Current),Reporting  Comments
Q1 22-23,Goulburn Valley Region Water Corporation,GVR Water,2524,Asset Management Information System Replacement Project,Environment and Water,Assets/Materials Management,"Implement mature, industry proven Asset Management Information and Geographic Information Systems meeting the requirements of the organisation, delivering improvements and efficiencies not previously achievable with the current solutions",Delivery,"Cost Reduction (Financial), Efficiency/Productivity (Non Financial), Increased Quality (Non Financial), Risk Reduction (Non Financial), Workforce Satisfaction (Non Financial)",,Internal GVW Project Management Methodology,23-11-16,08-12-17,,08-12-17,"$50,000",,02-01-18,,31-03-21,30-06-24,"$2,405,000","$3,799,000",Green,Green,Green,Green,Green,Contract has been finalised. Design phase has commenced.
Q1 22-23,Goulburn Valley Region Water Corporation,GVR Water,2525,Intelligent Metering,Environment and Water,Assets/Materials Management,"Installation of intelligent meters in four towns  to provide data to target peak demand reduction, leading to:

1 . A permanent reduction in peak day water usage through leakage reduction.
2. Deferral of water network capacity upgrade projects",Delivery,"Cost Avoidance (Financial), Efficiency/Productivity (Non Financial), Social Improvement (Non Financial), Workforce Satisfaction (Non Financial)",,GVW Internal Project Management Methodology,01-07-17,02-03-18,,02-03-18,"$10,000",,31-07-18,,30-06-21,31-05-23,"$1,790,000","$4,380,000",Green,Green,Green,Green,Green,Tracking OK
Q1 22-23,"Department of Environment, Land, Water and Planning",DELWP,2561,Digital Cadastre Modernisation Project,Property and Planning,"Knowledge Management ,Data Management","Digital Cadastre Modernisation will bring the authoritative map of Victoria�s property boundaries further into the digital age,  ensuring that one of the State�s most important datasets is accurate, useful, and easy to maintain.",Delivery,"Cost Avoidance (Financial), Cost Reduction (Financial), Efficiency/Productivity (Non Financial), Increased Quality (Non Financial)",,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),12-02-18,30-09-18,,30-09-18,$0,"$200,000",16-11-18,,30-12-23,30-12-23,$0,"$45,000,000",Red,Green,Green,Green,Green,The project continues to progress as planned in preparation for the start of publishing. Intensive stakeholder engagement continues with project on track to publish 12 municipalities by end of 2022.
Q1 22-23,Eastern Health,EH,2563,Eastern Health - Single Billing System Project,Health,"Data Management,Development and Integration ,Financial Management","Deliver a single billing system  to replace 17 legacy systems used for patient accounts billing for Eastern Health, resulting in uplift in revenue, improved customer experience of billing and collection processes and reduction in costs",Delivery,Increased Revenue (Financial),,PRINCE2,01-07-17,04-02-18,28-03-18,28-03-18,"$508,851",,17-04-18,,30-06-20,31-10-22,"$6,839,088","$11,742,903",Green,Green,Green,Green,Green,Approval of the revised project plan has been received which has enabled the project to retain the status of green.
Q1 22-23,Coliban Region Water Corporation,Coliban Water,2567,Digital Customer Metering Program,Environment and Water,"Data Management,Assets/Materials Management,Business Intelligence,Reporting","To automate manual meter reading to improve business intelligence, asset management and network planning to enable benefits for customers.",Delivery,"Cost Avoidance (Financial), Cost Reduction (Financial)",,PMBoK,18-01-16,25-07-17,,25-07-17,"$72,000",,25-07-17,,30-06-23,,"$5,448,000","$9,001,000",Green,Green,Green,Amber,Amber,Uncertainty about timing of supply of data loggers due to global supply-chain issues.
Q1 22-23,South West Alliance of Rural Health,SWARH,2597,Barwon Health Optima Rostering Project,Health,"Management of Process ,Human Capital / Workforce Management ,Human Resources","This project will deliver a Rostering and Time & Attendance system to automate staff rostering processes, improving workforce utilisation, accuracy of resource allocation and delivery of patient care.",Delivery,"Cost Reduction (Financial), Efficiency/Productivity (Non Financial)",,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),19-07-17,31-05-18,,08-06-18,"$110,640",,11-07-18,,31-12-19,30-06-23,"$3,443,281",,Red,Red,Amber,Amber,Red,New business case with full roll out costs and schedule to be presented in December for approval.
Q1 22-23,Hume Rural Health Alliance,HRHA,2623,West Hume Patient Administration System (PAS),Health,"Data Management,Management of Process ,Records Management ,Tracking and Workflow,Knowledge Management ,Visualisation","The project will deliver a new Patient Administration System across 5 health services, improving information sharing within the West Hume Region, improved information security and system availability to support timely provision of healthcare.",Closed - Merged,"Compliance (Non Financial), Cost Reduction (Financial), Efficiency/Productivity (Non Financial)",02-09-22,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),01-08-18,31-12-18,06-12-19,06-12-19,"$250,000","$62,000",20-03-20,,30-09-21,02-09-22,"$4,532,536","$3,006,490",Amber,Red,Red,Red,Red,Project closed due to issues experienced with PAS product delivery and agreement to merge related projects across the region into a single regional PAS project. Relevant project outputs to date will be leveraged in the initiation of a regional PAS implementation.
Q1 22-23,Hume Rural Health Alliance,HRHA,2626,Albury Wodonga Health Patient Administration System (PAS),Health,"Organisational Management ,Business Intelligence,Data Management,Financial Management,Management of Process ,Records Management ,Security Management ,Tracking and Workflow,Routing and Scheduling","The project will replace the current PAS to deliver a common patient database to standardise patient administration workflows and reporting across AWH, remove risks of multiple concurrent patient identifiers, and improve patient records management",Closed - Merged,"Cost Avoidance (Financial), Customer Satisfaction (Non Financial)",28-07-22,PRINCE2,01-08-18,31-08-20,,31-08-20,"$1,700,000","$630,000",31-08-20,,31-03-22,05-09-22,"$250,000","$2,850,000",Red,Red,Red,Red,Red,Project closed due to issues experienced with PAS product delivery and agreement to merge related projects across the region into a single regional PAS project. Relevant project outputs to date will be leveraged in the initiation of a regional PAS implementation
Q1 22-23,Transport Accident Commission,TAC,2630,Data Analytics,Transport and Vehicles,Business Intelligence,Implement an Enterprise Data Warehouse (EDW) that will contain the single source of truth for TAC's data.  The program will also implement enterprise data policies and governance to ensure that data is of a high quality.,Closed - Completed,"Efficiency/Productivity (Non Financial), Increased Quality (Non Financial), Reputation (Non Financial), Workforce Satisfaction (Non Financial)",31-07-22,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),01-06-18,30-06-18,,03-07-18,$0,"$1,195,727",03-07-18,,30-11-19,31-07-22,"$5,700,000","$20,604,273",Green,Green,Amber,Green,Green,"The current phase of data analytics program has come to a close as at 31 July 2022.

Closure phase activities have been executed and the TAC
executive team has approved the closure report for this phase of the program.

A new phase of DAR will be delivered through the endorsement of the next TAC business case, this was approved in Sept 2022."
Q1 22-23,Ambulance Victoria,AVS,2666,Enterprise Resource Planning Project,Health,Human Capital / Workforce Management,The ERP project will deliver a new  integrated enterprise platform to manage rosters and claims. This will automate and streamline processes to enhance and enable effective resource management to meet the demand of AV's services,Postponed,"Cost Reduction (Financial), Increased Quality (Non Financial)",31-12-21,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),01-02-18,30-06-19,20-08-19,20-08-19,"$320,000","$343,634",26-08-19,,30-06-22,,"$10,137,107","$9,486,636",Amber,Red,Red,Red,Red,This project continues to be reported as red status reflecting an ongoing 'pause' whilst the review findings are considered and a business case with a recommended path forward to be considered by Ambulance Victoria Board in Quarter 2 FY23.
Q1 22-23,Ambulance Victoria,AVS,2667,Predictive Analytics Capability,Health,"Business Intelligence,Analyses and Statistics ,Knowledge Discovery ,Reporting",Establish organisational real time decision support along with predictive analytics capability. The introduction of modern data analysis will ensure critical information can be provided to paramedics when they need it.,Postponed,Efficiency/Productivity (Non Financial),31-12-21,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),10-04-18,25-11-18,27-05-19,27-05-19,"$282,000","$267,500",17-07-19,,30-06-21,31-12-21,"$12,018,000","$8,810,721",Red,Red,Red,Red,Red,"This project continues to be reported as red status reflecting an ongoing pause whilst rescoping activities occur.  
Following an extensive review, a recommendation was made to the Ambulance Victoria Board in Quarter 1 FY23 for the project to be recommenced with a greater technical focus.  Further rescoping activities will be undertaken in Quarter 2 FY23."
Q1 22-23,Department of Education and Training,DET,2690,Asset Information Management Systems (AIMS),Education,"Content Management,Data Management,Assets/Materials Management",This will deliver a new Asset Information Management System to manage schools land and building assets enabling evidence-based decision making at both DET Corporate & School level and support attestation to Asset Management Accountability Framework.,Delivery,"Compliance (Non Financial), Cost Reduction (Financial), Efficiency/Productivity (Non Financial)",,PRINCE2,01-08-17,31-07-19,30-09-19,30-09-19,"$2,963,222","$2,562,342",01-10-19,,30-09-22,30-11-22,"$12,956,778","$16,420,894",Green,Green,Green,Green,Green,The AIMS deployment continues with 74% of portfolio onboarded and delivery cadence maintained. Despite pressure from COVID19 and staffing impacts schools remain engaged with the AIMS deployment with relatively few withdrawal requests. Engagement activity for October and November 2022 completed. In the current release cycle the AIMS PBE Project Budget Estimator investment model and Student Resource Package 2.0 modules have all successfully gone live. Some delivery pressure for corporate rollout 3 and 4 flagged late in the quarter. Modules in-flight at various stages. Options on schedule pressure for corporate modules being considered. No impact expected the school release deployment.
Q1 22-23,"Department of Environment, Land, Water and Planning",DELWP,2730,VGV Going Digital Project,Property and Planning,"Management of Process ,Customer Initiated Assistance,Data Management,Records Management ,Reporting ,Knowledge Management ,Tracking and Workflow",Valuer-General Victoria Go Digital project will transfer paper-based valuation requests and records into a digital system to reduce the reliance on paper-based systems and to improve the accuracy of valuation data.,Delivery,Efficiency/Productivity (Non Financial),,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),30-06-17,30-09-17,,30-11-17,"$88,000",,30-11-18,,30-09-19,31-12-22,"$518,841","$2,636,259",Amber,Green,Green,Green,Green,The project is reporting Green for this period
Q1 22-23,Hume Rural Health Alliance,HRHA,2783,Central Hume Partnership PAS Replacement,Health,"Data Management,Knowledge Management ,Management of Process ,Records Management ,Tracking and Workflow,Visualisation","The project will deliver a new Patient Administration System across 7 health services, improving information sharing within the Central Hume Partnership, improved information security and system availability to support timely provision of healthcare.",Closed - Merged,"Compliance (Non Financial), Efficiency/Productivity (Non Financial)",31-08-22,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),05-08-19,30-08-19,05-08-19,30-08-19,"$2,400,000","$75,000",21-10-19,,30-06-21,07-09-22,"$2,200,000","$3,125,000",Red,Red,Red,Red,Red,Project closed due to issues experienced with PAS product delivery and agreement to merge related projects across the region into a single regional PAS project. Relevant project outputs to date will be leveraged in the initiation of a regional PAS implementation.
Q1 22-23,Victorian Rail Track,VicTrack,2797,Transport and Government Secure Network (TGSN),Transport and Vehicles,Routing and Scheduling,To upgrade VicTrack's fixed Telecommunications network. The current network has various elements which are obsolete or becoming obsolete there is lack of spare equiments and reduced vendor support. 3 years project to deliver new technology.,Delivery,Risk Reduction (Non Financial),,VicTrack PMF,03-06-19,01-10-19,02-03-20,02-03-20,$0,$0,02-03-20,,30-06-23,,"$69,000,000",,Green,Green,Amber,Amber,Amber,The project remains amber due to resourcing risks being monitored. On track to deliver to the approved plan.
Q1 22-23,Department of Justice and Community Safety,DJCS,2799,Network Uplift Program,Law and Justice,Systems Management,To get all DJCS sites on the same comparable level of capability to support Win 10 roll-out and to apply the same service delivery principles and services to all sites. Includes centralisation of file and print services and provision of WIFI.,Delivery,"Cost Avoidance (Financial), Cost Reduction (Financial), Efficiency/Productivity (Non Financial)",,Project Management Excellence,01-11-18,17-05-19,,17-05-19,$0,,17-05-19,,30-06-21,30-11-22,"$6,148,000","$7,983,494",Green,Green,Green,Green,Green,All sites completed. Closure activities are in progress. The project will be closed by end of November 2022.
Q1 22-23,Melbourne Water,MELB Water,2801,Image processing and analytics,Environment and Water,"Assets/Materials Management,Analyses and Statistics","This project will implement image processing and analytics for sewerage assets, which will efficiently analyse data captured to assist with managing risks associated with failure mechanisms such as corrosion within the sewer transfer network.",Delivery,"Efficiency/Productivity (Non Financial), Increased Quality (Non Financial)",,PRINCE2,17-04-19,20-08-19,15-10-20,17-11-20,$0,,17-11-20,,06-10-21,14-10-22,"$1,459,302","$1,229,512",Green,Green,Green,Green,Green,Testing is complete and now preparing for go live including comms training and handover to support in October. Schedule red status due to a delay caused by business resource constraint. Dates aligned with PLT.
Q1 22-23,Department of Health,DH,2812,Oracle Financials Upgrade,Community Services,Financial Management,The project will deliver an Oracle upgrade to the latest release of Oracle Cloud platform including the Chart of Accounts rationalisation and standard business processes to provide DH and DFFH with an efficient financial and procurement system.,Delivery,"Cost Reduction (Financial), Customer Satisfaction (Non Financial), Efficiency/Productivity (Non Financial), Risk Reduction (Non Financial)",,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),20-05-19,31-12-19,29-11-19,29-11-19,"$1,885,550","$964,956",05-05-21,,30-12-22,,"$25,475,450","$28,550,189",,Amber,Amber,Amber,Amber,Program is Amber as delivery approach and plan is to align with the whole of Victorian Government Common Corporate Platform initiatives. Re-planning is almost complete and schedule and cost will be updated in the next reporting period.
Q1 22-23,Department of Education and Training,DET,2819,Kindergarten Information Management System (KIMS) Reform,Education,"Development and Integration ,Financial Management","The project will replace the kindergarten funding system with a Cloud based technology platform to ensure ongoing functionality, rapid implementation and support for the Education State Early Childhood Reform Plan�s key reforms.",Delivery,"Cost Avoidance (Financial), Customer Satisfaction (Non Financial), Efficiency/Productivity (Non Financial), Increased Quality (Non Financial)",,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),26-04-18,28-06-19,28-06-19,28-06-19,$0,"$787,836",28-06-19,,27-03-20,31-12-22,"$15,637,064","$21,342,704",Amber,Green,Green,Green,Green,"Following the delivery of the core functionality, the final Project Control Board meeting was held in April 2022. It was agreed that the program would transition to a business-as-usual (BAU). As part of the BAU activities the ongoing management and operations of the KIMS platform is transitioning to the Early Childhood Systems Branch.
Due to the Business-as-usual transition, this will be the final report for the KIMS Reform Project."
Q1 22-23,Yarra Valley Water,YV Water,2821,Operational Historian,Environment and Water,Data Management,"Acquisition, storage, analysis, and presentation of large volumes of time series data � allowing it to be combined with data from other core systems for analysis and improved decision making.",Delivery,Efficiency/Productivity (Non Financial),,PRINCE2,01-11-18,30-08-19,27-12-19,27-12-19,"$240,000","$300,000",30-12-19,01-01-20,30-12-21,30-11-23,"$4,778,000","$7,355,080",Amber,Amber,Green,Green,Green,"Project re-activated 
Vendor SOW revised
Business case finalised & approved
Project Business Analyst Hired
Project mobilisation and planning activities commenced."
Q1 22-23,Yarra Valley Water,YV Water,2822,Network Communications and IoT Device Management,Environment and Water,Assets/Materials Management,IoT device telecommunications services and device management platform.,Delivery,Cost Reduction (Financial),,PRINCE2,01-05-19,31-01-20,14-10-20,14-10-20,"$350,000","$1,300,000",19-10-20,,30-06-22,30-06-23,"$3,715,000","$3,715,059",Green,Green,Green,Green,Green,Continuing to work through Meter Onboarding and integration activities. Negotiations held with a meter manufacturer for procurement of Digital Meters.
Q1 22-23,South East Water,SE Water,2823,Digital Utility Core Capability,Environment and Water,"Customer Relationship Management,Data Management,Development and Integration ,Reporting","Delivery of end to end business processes across meter management, billing and alerts & alarms.  This will enable customer data to be exposed via the portal and internal CSO views as well as monitoring meter and water usage behaviour.",Delivery,"Cost Reduction (Financial), Efficiency/Productivity (Non Financial)",,Agile,10-06-19,20-06-19,,21-06-19,"$25,000",,24-06-19,,28-02-20,03-11-23,$0,"$19,000,000",Green,Green,Green,Green,Green,Current initiatives require an RFx which is being finalised and will be released in the new year.  This has seen system development slow.
Q1 22-23,Department of Transport,DOT,2824,Rail Operational Performance Project (ROPP),Transport and Vehicles,"Systems Management,Data Management","The objective of the new Rail Operational Performance Project (ROPP) solution is to provide an efficient, future proof system that enables compliance with the MR4 contract and supports the enterprise approach to
rationalise the data management proces",Delivery,"Compliance (Non Financial), Efficiency/Productivity (Non Financial)",,PTV Investment Lifecycle,02-07-18,30-06-19,11-05-21,11-05-21,"$2,200,000","$3,639,698",12-05-21,,08-04-22,15-02-23,"$3,560,302",,Amber,Amber,Green,Red,Red,"The project status is Red due to complex technical issues impacting the approved schedule.   A review of the Minimal Viable Product, and funding sources, is providing a positive improvement Post Sept 2022."
Q1 22-23,Department of Transport,DOT,2825,Automated Vehicle Monitoring Replacement (AVMR),Transport and Vehicles,"Analyses and Statistics ,Assets/Materials Management,Systems Management,Communication","The tram AVM system is used for the preparation management and monitoring of all tram services across the tram network. It is used to communicate with drivers and monitor and record tram location and
status.",Postponed,,01-07-22,PTV Investment Lifecycle,02-07-18,30-06-20,29-07-22,,"$2,800,000","$4,919,000",,,,,$0,,,,,,,Project is on hold.
Q1 22-23,Department of Justice and Community Safety,DJCS,2832,Practice Management System,Law and Justice,Tracking and Workflow,This project will replace the existing VGSO's Practice Management System to provide streamlined processes improved information sharing and increased data capture.,Delivery,"Cost Avoidance (Financial), Increased Revenue (Financial)",,Project Management Excellence,31-08-18,07-09-18,,07-09-18,$0,,30-09-19,,01-04-21,01-12-22,"$1,400,000","$1,500,000",Green,Green,Amber,Green,Green,Project Stream 1 was delivered on time and Project Stream 2 delivery date has changed. The revised delivery date is due to the impact of COVID-19 on available resources with priorities needing to change to support staff during this period.
Q1 22-23,Department of Premier and Cabinet,DPC,2841,ACHRIS Phase 3 � Amalgamation of the CHMP database,"Culture, Sport and Recreation",Management of Process,ACHRIS Phase 3 will integrate critical business systems to  deliver a holistic approach to better manage and protect Aboriginal cultural heritage.  The new system will deliver business efficiencies and reduce statutory red tape.,Postponed,"Compliance (Non Financial), Customer Satisfaction (Non Financial), Risk Reduction (Non Financial)",30-06-21,Agile,01-07-19,30-06-22,14-10-19,15-10-19,$0,,15-10-19,,30-06-22,30-06-24,"$1,231,413","$1,459,876",Amber,Amber,Amber,Amber,Amber,The project is still postponed while waiting for project budget decision which will provide a clear path beyond this financial year as the project requires multiple year funding to proceed.
Q1 22-23,Department of Justice and Community Safety,DJCS,2851,Digital Radio Upgrade Program - Stage 2,Emergencies and Safety,Communication,This Program will transition Ambulance Victoria's (AV) regional comms off analogue radio system onto the State�s shared digital network and replace AV's regional radio fleet to provide secure comms and improve community safety and health outcomes.,Delivery,"Cost Avoidance (Financial), Efficiency/Productivity (Non Financial), Risk Reduction (Non Financial)",,Project Management Excellence,01-07-19,02-07-19,,02-07-19,$0,,03-07-19,,30-06-23,30-12-24,"$70,378,000",,Green,Green,Green,Green,Green,"The project is tracking well against scope, budget and schedule."
Q1 22-23,Victoria Legal Aid,VLA,2852,Digital Legal Aid Program,Law and Justice,Management of Process,"VLA will leverage technology and data to significantly improve client service, productivity and access to justice.",Delivery,"Cost Reduction (Financial), Customer Satisfaction (Non Financial)",,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),01-07-18,19-02-19,,20-02-19,$0,,22-02-19,01-01-22,30-07-21,31-12-23,"$14,500,000","$5,850,000",Green,Green,Green,Amber,Green,"The digital services record pilot (renamed Legal Aid Services Online or LASO) is complete. The current product is being rolled out across the organisation and is about 25% complete with a target of a July-August 2023 completion date. 
VLA's website project is complete with all new sites live and now cut over to the Vic Gov Single Digital Presence platform."
Q1 22-23,Department of Justice and Community Safety,DJCS,2855,Serious Offenders Reform Program - ICT Program,Law and Justice,Development and Integration,"The ICT Program supports the upgrade of existing systems to support changes to legislation, policy and business processes as part of the serious offender reform program.",Postponed,"Compliance (Non Financial), Efficiency/Productivity (Non Financial)",25-10-21,Project Management Excellence,01-04-17,30-11-17,,01-12-17,"$1,375,000",,01-12-17,,31-05-20,29-11-21,"$11,830,000","$16,718,486",Red,Red,Red,Red,Red,The final component of the multi-year SORP ICT program has been placed on hold due to technical and schedule uncertainty. A critical evaluation of the vendor's revised plan has been undertaken by the Department and consideration of how to deliver the final component is underway.  It is expected that these discussions will conclude before the end of calendar year.
Q1 22-23,Western Health,WH,2868,Western Health - Electronic Medical Record (EMR) Phase 2,Health,Records Management,This project represents the next phase of the EMR at Western Health (WH) on its path towards bringing it to a fully digital hospital which is expected to provide improved efficiency and quality of care across the continuum of the organisation.,Delivery,Efficiency/Productivity (Non Financial),,PRINCE2,29-05-19,03-02-20,05-07-19,05-07-19,$0,,22-02-21,,31-12-25,30-06-26,"$64,400,000","$69,447,738",Red,Green,Amber,Red,Amber,Vendor resourcing constraints continue to pose a risk for the project  however the project schedule has been formally re-baselined and quarterly status changed to Amber. Project activities are currently tracking to new timeline.
Q1 22-23,Western Health,WH,2869,Western Health - Active Directory (AD) Separation,Health,"Organisational Management ,Security Management","Western Health (WH) shares the same Active Directory (AD)  domain with Melbourne and Northern Health services. The objective is to create a WH AD, reducing potential cyber security risks and providing WH its own AD environment",Closed - Completed,Efficiency/Productivity (Non Financial),30-09-22,PRINCE2,06-05-19,15-11-19,30-09-19,06-12-19,$0,,01-06-20,,23-12-21,30-09-22,"$1,876,000","$2,765,677",Green,Green,Green,Green,Green,The Project is now closed
Q1 22-23,Ambulance Victoria,AVS,2877,Connected Paramedic,Health,"Communication,Collaboration  ,Knowledge Management","The Connected Paramedic Program will introduce digital connectivity to paramedics and integrate internal systems, allowing the provision of digital tools for paramedics to connect and share data within AV and between AV and the broader health system.",Postponed,,01-07-20,PMBoK,01-07-19,30-06-21,30-06-20,,"$7,700,000","$827,766",,,,,$0,,,,,,,Project remains on hold. Some elements of the Connected Paramedic project were progressed to obtain the priority business outcomes via other projects. Other elements have been paused and will be the subject of future business cases pending review in Q2 FY23
